won,pim,powerPlayGoals,faceOffWinPercentage,shots,goals,takeaways,hits,blockedShots,giveaways,missedShots,penalties,timeOnIce,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce,hoa_away,hoa_home,settledIn_OT,settledIn_REG,startRinkSide_left,startRinkSide_right,goalieReplacement_No,goalieReplacement_Yes
0,2.0,1.0,50.9,8.0,0.0,1.0,14.0,3.0,6.0,4.0,1.0,330.28,280.46,18.52,31.3,1,0,0,1,1,0,0,1
1,2.67,1.0,49.1,8.0,3.0,3.0,5.0,3.0,7.0,0.0,1.0,327.11,278.93,25.04,23.15,0,1,0,1,1,0,1,0
1,2.0,0.0,43.8,11.0,0.0,0.0,4.0,6.0,2.0,6.0,1.0,334.07,293.2,9.48,31.39,1,0,1,0,0,1,1,0
0,2.67,0.0,56.2,12.0,1.0,2.0,4.0,8.0,0.0,3.0,3.0,333.07,296.11,25.11,11.85,0,1,1,0,0,1,1,0
1,3.0,0.0,45.7,9.0,0.0,3.0,4.0,7.0,7.0,3.0,2.0,328.89,281.57,17.78,29.54,1,0,0,1,1,0,1,0
0,3.67,0.0,54.3,8.0,1.0,2.0,5.0,1.0,5.0,8.0,1.0,328.91,283.06,23.63,22.22,0,1,0,1,1,0,1,0
0,3.33,0.0,31.4,4.0,0.0,5.0,12.0,3.0,2.0,3.0,1.0,324.78,254.35,35.7,34.72,1,0,0,1,1,0,1,0
1,2.67,1.0,68.6,8.0,1.0,5.0,5.0,4.0,2.0,3.0,3.0,324.48,252.07,27.78,44.63,0,1,0,1,1,0,1,0
0,6.33,0.0,54.7,5.0,0.0,2.0,9.0,3.0,4.0,2.0,5.0,324.72,261.76,38.15,24.81,1,0,0,1,0,1,1,0
1,4.33,0.0,45.3,19.0,1.0,4.0,6.0,3.0,5.0,6.0,3.0,326.54,259.31,19.85,47.37,0,1,0,1,0,1,1,0
1,2.67,0.0,46.6,11.0,1.0,1.0,9.0,7.0,4.0,1.0,0.0,324.48,274.93,35.48,14.07,1,0,0,1,1,0,1,0
0,1.33,0.0,53.4,7.0,0.0,0.0,15.0,5.0,3.0,3.0,0.0,330.96,275.35,11.26,44.35,0,1,0,1,1,0,1,0
